tdt_file,med_file,mouse,sex,region,virus,diet,date,session,phase,box,squad,L_nutrient,L_flavor,L_number_licks,R_nutrient,R_flavor,R_number_licks,total_licks,left_cue,right_cue,signal_uv,signal_blue,ttl_sipper_left,ttl_lick_left,ttl_sipper_right,ttl_lick_right,endcol
HistaLight-240226-130110,2024-02-26_13h40m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,5,1,,,,ensure,,254,254,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240226-130110,2024-02-26_13h40m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,6,1,,,,ensure,,868,868,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240226-130110,2024-02-26_13h40m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,7,1,,,,ensure,,1480,1480,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240226-133847,2024-02-26_14h18m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,5,2,,,,ensure,,1396,1396,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240226-133847,2024-02-26_14h18m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,6,2,,,,ensure,,1394,1394,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240226-133847,2024-02-26_14h18m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,7,2,,,,ensure,,1758,1758,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240226-133847,2024-02-26_14h18m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,8,2,,,,ensure,,1747,1747,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240226-141758,2024-02-26_14h57m_Subject HL209.txt,HL209,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,5,3,,,,ensure,,1796,1796,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240226-141758,2024-02-26_14h57m_Subject HL210.txt,HL210,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,6,3,,,,ensure,,1284,1284,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240226-141758,2024-02-26_14h57m_Subject HL211.txt,HL211,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,7,3,,,,ensure,,1135,1135,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240226-141758,2024-02-26_14h57m_Subject HL212.txt,HL212,male,PVH,hislight,chow,2/26/2024,6,food_restricted_continuous_access,8,3,,,,ensure,,1538,1538,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240227-122150,2024-02-27_12h58m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,5,1,,,,ensure,,685,685,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240227-122150,2024-02-27_12h58m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,6,1,,,,ensure,,677,677,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240227-122150,2024-02-27_12h58m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,7,1,,,,ensure,,1281,1281,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240227-125607,2024-02-27_13h37m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,5,2,,,,ensure,,736,736,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240227-125607,2024-02-27_13h37m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,6,2,,,,ensure,,566,566,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240227-125607,2024-02-27_13h37m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,7,2,,,,ensure,,1242,1242,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240227-125607,2024-02-27_13h37m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,8,2,,,,ensure,,1140,1140,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240227-133236,2024-02-27_14h11m_Subject HL209.txt,HL209,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,5,3,,,,ensure,,965,965,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240227-133236,2024-02-27_14h11m_Subject HL210.txt,HL210,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,6,3,,,,ensure,,809,809,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240227-133236,2024-02-27_14h11m_Subject HL211.txt,HL211,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,7,3,,,,ensure,,665,665,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240227-133236,2024-02-27_14h11m_Subject HL212.txt,HL212,male,PVH,hislight,chow,2/27/2024,7,unrestricted_continuous_access_dark,8,3,,,,ensure,,696,696,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240228-143145,2024-02-28_15h11m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/28/2024,8,unrestricted_continuous_access_dark,5,1,,,,ensure,,450,450,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240228-143145,2024-02-28_15h11m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/28/2024,8,unrestricted_continuous_access_dark,6,1,,,,ensure,,1215,1215,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240228-143145,2024-02-28_15h11m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/28/2024,8,unrestricted_continuous_access_dark,7,1,,,,ensure,,1692,1692,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240228-150925,2024-02-28_15h51m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/28/2024,8,unrestricted_continuous_access_dark,5,2,,,,ensure,,1409,1409,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240228-150925,2024-02-28_15h51m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/28/2024,8,unrestricted_continuous_access_dark,6,2,,,,ensure,,983,983,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240228-150925,2024-02-28_15h51m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/28/2024,8,unrestricted_continuous_access_dark,7,2,,,,ensure,,1444,1444,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240228-150925,2024-02-28_15h51m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/28/2024,8,unrestricted_continuous_access_dark,8,2,,,,ensure,,1671,1671,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240229-122110,2024-02-29_12h36m_Subject HL209.txt,HL209,male,PVH,hislight,chow,2/29/2024,8,unrestricted_continuous_access_dark,5,3,,,,ensure,,982,982,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240229-122110,2024-02-29_12h36m_Subject HL210.txt,HL210,male,PVH,hislight,chow,2/29/2024,8,unrestricted_continuous_access_dark,6,3,,,,ensure,,862,862,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240229-122110,2024-02-29_12h36m_Subject HL211.txt,HL211,male,PVH,hislight,chow,2/29/2024,8,unrestricted_continuous_access_dark,7,3,,,,ensure,,694,694,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240229-122110,2024-02-29_12h36m_Subject HL212.txt,HL212,male,PVH,hislight,chow,2/29/2024,8,unrestricted_continuous_access_dark,8,3,,,,ensure,,583,583,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240301-124738,2024-03-01_13h22m_Subject hl202.txt,HL202,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,5,1,,,,sucralose,,521,521,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240301-124738,2024-03-01_13h22m_Subject hl203.txt,HL203,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,6,1,,,,sucralose,,226,226,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240301-124738,2024-03-01_13h22m_Subject hl204.txt,HL204,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,7,1,,,,sucralose,,267,267,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240301-132344,2024-03-01_14h01m_Subject hl205.txt,HL205,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,5,2,,,,sucralose,,469,469,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240301-132344,2024-03-01_14h01m_Subject hl206.txt,HL206,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,6,2,,,,sucralose,,335,335,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240301-132344,2024-03-01_14h01m_Subject hl207.txt,HL207,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,7,2,,,,sucralose,,525,525,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240301-132344,2024-03-01_14h01m_Subject hl208.txt,HL208,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,8,2,,,,sucralose,,495,495,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240301-140010,2024-03-01_14h38m_Subject hl209.txt,HL209,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,5,3,,,,sucralose,,244,244,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240301-140010,2024-03-01_14h38m_Subject hl210.txt,HL210,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,6,3,,,,sucralose,,90,90,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240301-140010,2024-03-01_14h38m_Subject hl211.txt,HL211,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,7,3,,,,sucralose,,180,180,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240301-140010,2024-03-01_14h38m_Subject hl212.txt,HL212,male,PVH,hislight,chow,3/1/2024,9,unrestricted_sucralose,8,3,,,,sucralose,,146,146,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240304-140908,2024-03-04_14h45m_Subject hl202.txt,HL202,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,5,1,,,,sucralose,,1,1,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240304-140908,2024-03-04_14h45m_Subject hl203.txt,HL203,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,6,1,,,,sucralose,,308,308,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240304-140908,2024-03-04_14h45m_Subject hl204.txt,HL204,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,7,1,,,,sucralose,,210,210,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240304-144209,2024-03-04_15h23m_Subject HL205.txt,HL205,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,5,2,,,,sucralose,,40,40,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240304-144209,2024-03-04_15h23m_Subject HL206.txt,HL206,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,6,2,,,,sucralose,,430,430,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240304-144209,2024-03-04_15h23m_Subject HL207.txt,HL207,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,7,2,,,,sucralose,,298,298,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240304-144209,2024-03-04_15h23m_Subject HL208.txt,HL208,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,8,2,,,,sucralose,,486,486,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240304-151602,2024-03-04_15h57m_Subject HL209.txt,HL209,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,5,3,,,,sucralose,,84,84,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240304-151602,2024-03-04_15h57m_Subject HL210.txt,HL210,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,6,3,,,,sucralose,,86,86,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240304-151602,2024-03-04_15h57m_Subject HL211.txt,HL211,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,7,3,,,,sucralose,,355,355,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240304-151602,2024-03-04_15h57m_Subject HL212.txt,HL212,male,PVH,hislight,chow,3/4/2024,10,unrestricted_sucralose,8,3,,,,sucralose,,43,43,,,_4058,_4658,_819_,_820_,_817_,_818_,0
